Fecha;TRM
05/10/2021;$ 3,786.05
06/10/2021;$ 3,796.30
07/10/2021;$ 3,788.03
08/10/2021;$ 3,772.44
09/10/2021;$ 3,765.80
10/10/2021;$ 3,765.80
11/10/2021;$ 3,765.80
12/10/2021;$ 3,765.80
13/10/2021;$ 3,738.48
14/10/2021;$ 3,725.75
15/10/2021;$ 3,755.29
16/10/2021;$ 3,772.49
17/10/2021;$ 3,772.49
18/10/2021;$ 3,772.49
19/10/2021;$ 3,772.49
20/10/2021;$ 3,766.94
21/10/2021;$ 3,770.58
22/10/2021;$ 3,783.30
23/10/2021;$ 3,780.38
24/10/2021;$ 3,780.38
25/10/2021;$ 3,780.38
26/10/2021;$ 3,769.98
27/10/2021;$ 3,774.46
28/10/2021;$ 3,761.21
29/10/2021;$ 3,766.10
30/10/2021;$ 3,784.44
31/10/2021;$ 3,784.44
01/11/2021;$ 3,784.44
02/11/2021;$ 3,784.44
03/11/2021;$ 3,778.69
04/11/2021;$ 3,837.84
05/11/2021;$ 3,847.40
06/11/2021;$ 3,881.76
07/11/2021;$ 3,881.76
08/11/2021;$ 3,881.76
09/11/2021;$ 3,874.41
10/11/2021;$ 3,876.86
11/11/2021;$ 3,875.38
12/11/2021;$ 3,875.38
13/11/2021;$ 3,888.53
14/11/2021;$ 3,888.53
15/11/2021;$ 3,888.53
16/11/2021;$ 3,888.53
17/11/2021;$ 3,898.84
18/11/2021;$ 3,907.95
19/11/2021;$ 3,943.43
20/11/2021;$ 3,923.53
21/11/2021;$ 3,923.53
22/11/2021;$ 3,923.53
23/11/2021;$ 3,913.26
24/11/2021;$ 3,944.37
25/11/2021;$ 3,969.49
26/11/2021;$ 3,969.49
27/11/2021;$ 4,008.13
28/11/2021;$ 4,008.13
29/11/2021;$ 4,008.13
30/11/2021;$ 4,010.98
01/12/2021;$ 4,004.54
02/12/2021;$ 3,953.26
03/12/2021;$ 3,945.18
04/12/2021;$ 3,948.33
05/12/2021;$ 3,948.33
06/12/2021;$ 3,948.33
07/12/2021;$ 3,944.00
08/12/2021;$ 3,906.10
09/12/2021;$ 3,906.10
10/12/2021;$ 3,899.87
11/12/2021;$ 3,887.71
12/12/2021;$ 3,887.71
13/12/2021;$ 3,887.71
14/12/2021;$ 3,886.87
15/12/2021;$ 3,936.41
16/12/2021;$ 3,990.27
17/12/2021;$ 4,002.97
18/12/2021;$ 3,999.85
19/12/2021;$ 3,999.85
20/12/2021;$ 3,999.85
21/12/2021;$ 4,002.12
22/12/2021;$ 3,996.28
23/12/2021;$ 3,997.71
24/12/2021;$ 3,997.09
25/12/2021;$ 3,994.15
26/12/2021;$ 3,994.15
27/12/2021;$ 3,994.15
28/12/2021;$ 3,989.41
29/12/2021;$ 4,004.00
30/12/2021;$ 4,023.68
31/12/2021;$ 3,981.16
01/01/2022;$ 3,981.16
02/01/2022;$ 3,981.16
03/01/2022;$ 3,981.16
04/01/2022;$ 4,082.75
05/01/2022;$ 4,084.11
06/01/2022;$ 4,042.36
07/01/2022;$ 4,039.31
08/01/2022;$ 4,043.46
09/01/2022;$ 4,043.46
10/01/2022;$ 4,043.46
11/01/2022;$ 4,043.46
12/01/2022;$ 4,011.65
13/01/2022;$ 3,970.08
14/01/2022;$ 3,950.40
15/01/2022;$ 3,993.65
16/01/2022;$ 3,993.65
17/01/2022;$ 3,993.65
18/01/2022;$ 3,993.65
19/01/2022;$ 4,033.37
20/01/2022;$ 4,003.95
21/01/2022;$ 3,980.80
22/01/2022;$ 3,964.30
23/01/2022;$ 3,964.30
24/01/2022;$ 3,964.30
25/01/2022;$ 3,977.51
26/01/2022;$ 3,987.32
27/01/2022;$ 3,947.83
28/01/2022;$ 3,944.04
29/01/2022;$ 3,982.60
30/01/2022;$ 3,982.60
31/01/2022;$ 3,982.60
01/02/2022;$ 3,942.73
02/02/2022;$ 3,923.61
03/02/2022;$ 3,928.05
04/02/2022;$ 3,951.96
05/02/2022;$ 3,962.68
06/02/2022;$ 3,962.68
07/02/2022;$ 3,962.68
08/02/2022;$ 3,963.84
09/02/2022;$ 3,965.41
10/02/2022;$ 3,939.31
11/02/2022;$ 3,917.75
12/02/2022;$ 3,917.52
13/02/2022;$ 3,917.52
14/02/2022;$ 3,917.52
15/02/2022;$ 3,938.97
16/02/2022;$ 3,946.88
17/02/2022;$ 3,963.72
18/02/2022;$ 3,953.26
19/02/2022;$ 3,927.25
20/02/2022;$ 3,927.25
21/02/2022;$ 3,927.25
22/02/2022;$ 3,927.25
23/02/2022;$ 3,932.40
24/02/2022;$ 3,913.79
25/02/2022;$ 3,940.20
26/02/2022;$ 3,910.64
27/02/2022;$ 3,910.64
28/02/2022;$ 3,910.64
01/03/2022;$ 3,910.28
02/03/2022;$ 3,901.62
03/03/2022;$ 3,862.95
04/03/2022;$ 3,771.77
05/03/2022;$ 3,806.11
06/03/2022;$ 3,806.11
07/03/2022;$ 3,806.11
08/03/2022;$ 3,813.41
09/03/2022;$ 3,787.18
10/03/2022;$ 3,746.43
11/03/2022;$ 3,786.00
12/03/2022;$ 3,827.64
13/03/2022;$ 3,827.64
14/03/2022;$ 3,827.64
15/03/2022;$ 3,800.85
16/03/2022;$ 3,836.56
17/03/2022;$ 3,826.89
18/03/2022;$ 3,816.43
19/03/2022;$ 3,820.67
20/03/2022;$ 3,820.67
21/03/2022;$ 3,820.67
22/03/2022;$ 3,820.67
23/03/2022;$ 3,765.67
24/03/2022;$ 3,756.64
25/03/2022;$ 3,798.90
26/03/2022;$ 3,785.66
27/03/2022;$ 3,785.66
28/03/2022;$ 3,785.66
29/03/2022;$ 3,785.70
30/03/2022;$ 3,765.96
31/03/2022;$ 3,748.15
01/04/2022;$ 3,756.03
02/04/2022;$ 3,774.79
03/04/2022;$ 3,774.79
04/04/2022;$ 3,774.79
05/04/2022;$ 3,706.95
06/04/2022;$ 3,723.79
07/04/2022;$ 3,746.51
08/04/2022;$ 3,771.83
09/04/2022;$ 3,777.41
10/04/2022;$ 3,777.41
11/04/2022;$ 3,777.41
12/04/2022;$ 3,744.16
13/04/2022;$ 3,736.70
14/04/2022;$ 3,737.32
15/04/2022;$ 3,737.32
16/04/2022;$ 3,737.32
17/04/2022;$ 3,737.32
18/04/2022;$ 3,737.32
19/04/2022;$ 3,731.31
20/04/2022;$ 3,755.85
21/04/2022;$ 3,758.65
22/04/2022;$ 3,759.54
23/04/2022;$ 3,819.07
24/04/2022;$ 3,819.07
25/04/2022;$ 3,819.07
26/04/2022;$ 3,931.74
27/04/2022;$ 3,947.63
28/04/2022;$ 3,967.32
29/04/2022;$ 3,984.77
30/04/2022;$ 3,966.27
01/05/2022;$ 3,966.27
02/05/2022;$ 3,966.27
03/05/2022;$ 4,004.07
04/05/2022;$ 4,016.34
05/05/2022;$ 4,056.41
06/05/2022;$ 4,086.08
07/05/2022;$ 4,053.93
08/05/2022;$ 4,053.93
09/05/2022;$ 4,053.93
10/05/2022;$ 4,085.76
11/05/2022;$ 4,086.71
12/05/2022;$ 4,080.32
13/05/2022;$ 4,109.71
14/05/2022;$ 4,110.53
15/05/2022;$ 4,110.53
16/05/2022;$ 4,110.53
17/05/2022;$ 4,070.25
18/05/2022;$ 4,033.85
19/05/2022;$ 4,054.71
20/05/2022;$ 4,050.88
21/05/2022;$ 3,989.84
